import time: self [us] | cumulative | imported package
import time:       361 |        361 |                     openai.types.shared.response_format_json_object
import time:       842 |        842 |                     openai.types.shared.response_format_json_schema
import time:       268 |       5409 |                   openai.types.shared
import time:        19 |       5428 |                 openai.types.shared.metadata
import time:       404 |        404 |                 openai.types.batch_request_counts
import time:      1360 |     144152 |               openai.types.batch
import time:       427 |        427 |               openai.types.image
import time:       457 |        457 |               openai.types.model
import time:       585 |        585 |                 openai.types.file_object
import time:       703 |       1288 |               openai.types.upload
import time:       435 |        435 |               openai.types.embedding
import time:       120 |        120 |               openai.types.chat_model
import time:      1043 |       1043 |                 openai.types.completion_usage
import time:       943 |        943 |                 openai.types.completion_choice
import time:       569 |       2554 |               openai.types.completion
import time:      2913 |       2913 |               openai.types.moderation
import time:       160 |        160 |               openai.types.audio_model
import time:       131 |        131 |               openai.types.image_model
import time:       103 |        103 |               openai.types.file_content
import time:       407 |        407 |               openai.types.file_deleted
import time:       148 |        148 |               openai.types.file_purpose
import time:      1185 |       1185 |               openai.types.vector_store
import time:       423 |        423 |               openai.types.model_deleted
import time:       147 |        147 |               openai.types.embedding_model
import time:       417 |        417 |               openai.types.images_response
import time:       251 |        251 |               openai.types.eval_list_params
import time:       229 |        229 |               openai.types.file_list_params
import time:       145 |        145 |               openai.types.moderation_model
import time:       270 |        270 |               openai.types.batch_list_params
import time:       316 |        316 |               openai.types.image_edit_params
import time:       158 |        158 |                     openai.types.shared_params.metadata
import time:       229 |        229 |                     openai.types.shared_params.reasoning
import time:       133 |        133 |                     openai.types.shared_params.chat_model
import time:       254 |        254 |                       openai.types.shared_params.comparison_filter
import time:       231 |        485 |                     openai.types.shared_params.compound_filter
import time:       146 |        146 |                     openai.types.shared_params.responses_model
import time:       114 |        114 |                     openai.types.shared_params.reasoning_effort
import time:       105 |        105 |                       openai.types.shared_params.function_parameters
import time:       223 |        328 |                     openai.types.shared_params.function_definition
import time:       194 |        194 |                     openai.types.shared_params.response_format_text
import time:       179 |        179 |                     openai.types.shared_params.response_format_json_object
import time:       287 |        287 |                     openai.types.shared_params.response_format_json_schema
import time:       236 |       2486 |                   openai.types.shared_params
import time:        20 |       2505 |                 openai.types.shared_params.metadata
import time:       244 |        244 |                 openai.types.eval_string_check_grader_param
import time:       286 |        286 |                 openai.types.eval_text_similarity_grader_param
import time:       936 |       3970 |               openai.types.eval_create_params
import time:      1802 |       1802 |                 openai.types.eval_label_model_grader
import time:       486 |        486 |                 openai.types.eval_string_check_grader
import time:       507 |        507 |                 openai.types.eval_text_similarity_grader
import time:       481 |        481 |                 openai.types.eval_custom_data_source_config
import time:       494 |        494 |                 openai.types.eval_stored_completions_data_source_config
import time:       785 |       4552 |               openai.types.eval_list_response
import time:       228 |        228 |               openai.types.eval_update_params
import time:       201 |        201 |               openai.types.file_create_params
import time:       271 |        271 |               openai.types.batch_create_params
import time:       635 |        635 |               openai.types.eval_create_response
import time:       400 |        400 |               openai.types.eval_delete_response
import time:       727 |        727 |               openai.types.eval_update_response
import time:       251 |        251 |               openai.types.upload_create_params
import time:       400 |        400 |               openai.types.vector_store_deleted
import time:       146 |        146 |               openai.types.audio_response_format
import time:       367 |        367 |               openai.types.image_generate_params
import time:       632 |        632 |               openai.types.eval_retrieve_response
import time:       371 |        371 |                 openai.types.other_file_chunking_strategy_object
import time:       344 |        344 |                   openai.types.static_file_chunking_strategy
import time:       414 |        758 |                 openai.types.static_file_chunking_strategy_object
import time:       227 |       1354 |               openai.types.file_chunking_strategy
import time:       211 |        211 |               openai.types.upload_complete_params
import time:       276 |        276 |               openai.types.embedding_create_params
import time:       431 |        431 |                         openai.types.chat.chat_completion_audio
import time:       764 |        764 |                         openai.types.chat.chat_completion_message_tool_call
import time:      1392 |       2586 |                       openai.types.chat.chat_completion_message
